"YR","LG","hitting_talent","tal_ssn_diff","tal_lg_diff","hitting_lg_eff","le_ssn_diff","le_lg_diff"
"13",1882,"AA",-0.286458280509705,"yes","yes",0.249385389813234,"no","yes"
"15",1883,"AA",-0.259159333862396,"yes","yes",0.245091368161144,"no","yes"
"16",1884,"AA",-0.277487388457293,"yes","yes",0.244888488451177,"yes","yes"
"20",1885,"AA",-0.246647163394753,"yes","yes",0.222727181528981,"yes","yes"
"22",1886,"AA",-0.214660716674221,"yes","no",0.21971879093405,"yes","no"
"23",1887,"AA",-0.22357806395709,"no","yes",0.284771744976298,"yes","yes"
"25",1888,"AA",-0.207368434449505,"no","no",0.189714862005541,"yes","yes"
"27",1889,"AA",-0.215182613812988,"yes","yes",0.260380760668963,"yes","yes"
"30",1890,"AA",-0.2713826225206,"yes","yes",0.294463701731154,"yes","yes"
"32",1891,"AA",-0.216374341140582,"yes","yes",0.253782579520491,"yes","yes"
"43",1901,"AL",-0.169544173110073,"no","no",0.235392069857429,"yes","yes"
"45",1902,"AL",-0.165774723054764,"no","yes",0.209628076685293,"yes","yes"
"48",1903,"AL",-0.164303466086532,"no","no",0.159929490749554,"yes","yes"
"50",1904,"AL",-0.1573199463053,"no","yes",0.125141001474608,"yes","yes"
"52",1905,"AL",-0.165600915366159,"yes","no",0.119705501625472,"no","yes"
"54",1906,"AL",-0.147740784380691,"yes","yes",0.123124466605186,"no","no"
"56",1907,"AL",-0.149059901399679,"no","yes",0.106276767696293,"no","yes"
"58",1908,"AL",-0.143289871666318,"no","yes",0.0899504656710896,"no","no"
"60",1909,"AL",-0.148484292804703,"no","yes",0.0993288578846828,"no","yes"
"62",1910,"AL",-0.160535429115616,"no","no",0.108647912397586,"yes","yes"
"64",1911,"AL",-0.160139695891324,"no","no",0.18533385432549,"yes","no"
"66",1912,"AL",-0.157992191268642,"no","no",0.170165285477365,"yes","yes"
"67",1913,"AL",-0.149261833611701,"no","no",0.143591657525856,"yes","no"
"69",1914,"AL",-0.151306272844781,"no","yes",0.124842996381737,"yes","yes"
"72",1915,"AL",-0.155002616376382,"no","yes",0.127792956097576,"no","yes"
"76",1916,"AL",-0.140674747561219,"no","no",0.113940863697942,"no","no"
"78",1917,"AL",-0.129046646785527,"no","no",0.103919712439225,"no","no"
"79",1918,"AL",-0.135170088094722,"no","no",0.118440726850703,"yes","no"
"82",1919,"AL",-0.130164144078468,"no","no",0.153512164364454,"yes","yes"
"83",1920,"AL",-0.131038915932616,"no","no",0.200512644229467,"yes","yes"
"85",1921,"AL",-0.133595318418194,"no","no",0.22739252821478,"yes","no"
"88",1922,"AL",-0.132840696125186,"no","yes",0.201975879471865,"yes","yes"
"90",1923,"AL",-0.123876040852911,"no","yes",0.198749287257726,"no","no"
"92",1924,"AL",-0.129900946277485,"no","no",0.201573351268935,"no","no"
"94",1925,"AL",-0.119439423495536,"no","no",0.212912332935144,"yes","no"
"96",1926,"AL",-0.123733679666618,"no","no",0.182063499649601,"yes","no"
"98",1927,"AL",-0.113436774642007,"no","yes",0.191050889321315,"no","no"
"100",1928,"AL",-0.112835155531741,"no","no",0.178176890361906,"no","no"
"102",1929,"AL",-0.114798307162144,"no","no",0.188357856386084,"no","yes"
"104",1930,"AL",-0.114575775478965,"no","no",0.201993590610362,"yes","yes"
"106",1931,"AL",-0.123538634113346,"no","yes",0.168668225773659,"yes","yes"
"108",1932,"AL",-0.117293872972994,"yes","yes",0.173991644035128,"yes","yes"
"110",1933,"AL",-0.10283743589123,"yes","no",0.141477120230351,"yes","yes"
"112",1934,"AL",-0.0995524429744466,"no","no",0.15436573826617,"no","yes"
"114",1935,"AL",-0.0983002379107445,"no","yes",0.157472037545028,"yes","yes"
"116",1936,"AL",-0.0970928236102935,"no","no",0.185976577554018,"yes","yes"
"117",1937,"AL",-0.0951010919914527,"no","no",0.165967752480602,"yes","yes"
"119",1938,"AL",-0.0866428184702069,"no","no",0.159794429186769,"no","yes"
"121",1939,"AL",-0.0761361800984704,"no","no",0.144057612354133,"no","yes"
"123",1940,"AL",-0.0700840154806661,"no","no",0.129013559995713,"no","yes"
"126",1941,"AL",-0.0771282951480745,"yes","no",0.114411040790218,"yes","yes"
"128",1942,"AL",-0.0914555164045619,"yes","yes",0.0697848417669462,"yes","yes"
"130",1943,"AL",-0.0690062542413166,"yes","no",0.058948294986555,"yes","no"
"132",1944,"AL",-0.0890728461407963,"yes","no",0.0962302881048169,"yes","no"
"134",1945,"AL",-0.103058605741365,"yes","no",0.0982260471615856,"yes","no"
"136",1946,"AL",-0.0597304562325856,"yes","no",0.0673140937953639,"yes","no"
"138",1947,"AL",-0.0722881675657077,"no","no",0.0704342505051895,"yes","yes"
"140",1948,"AL",-0.0613433938995743,"no","no",0.10502002660183,"yes","yes"
"142",1949,"AL",-0.0532350012579051,"no","no",0.106133963625309,"yes","yes"
"144",1950,"AL",-0.0583491862496427,"no","no",0.128138799222945,"yes","yes"
"146",1951,"AL",-0.0533206744855582,"no","no",0.0882759855547178,"yes","no"
"148",1952,"AL",-0.0497519716160157,"no","no",0.0684446030033518,"yes","no"
"149",1953,"AL",-0.0589557209782245,"no","no",0.0928542577094852,"yes","no"
"152",1954,"AL",-0.0488488535820805,"no","no",0.0743950313414844,"yes","no"
"154",1955,"AL",-0.0555586801967601,"no","no",0.0840590942432994,"no","no"
"156",1956,"AL",-0.0483610038137128,"no","no",0.0954568685619757,"yes","yes"
"158",1957,"AL",-0.0485901585441084,"no","no",0.0722139766226081,"yes","no"
"160",1958,"AL",-0.0500114585087438,"yes","yes",0.0645780987105501,"no","no"
"162",1959,"AL",-0.0265131492224049,"yes","no",0.0610759704990627,"no","no"
"164",1960,"AL",-0.0351444938506479,"no","yes",0.0673313208934881,"no","yes"
"166",1961,"AL",-0.0419776818515179,"yes","no",0.0824309451494592,"no","yes"
"168",1962,"AL",-0.0557080750611842,"yes","yes",0.0771294741214449,"yes","yes"
"170",1963,"AL",-0.042962210119262,"yes","yes",0.0455262176183979,"yes","yes"
"172",1964,"AL",-0.0448732744382685,"yes","no",0.0418041327494328,"yes","yes"
"174",1965,"AL",-0.0261842287100097,"yes","no",0.0237487357273471,"yes","no"
"176",1966,"AL",-0.0283982845395922,"no","no",0.00826377477679158,"yes","no"
"178",1967,"AL",-0.0258814456004915,"yes","no",-0.0140346200270502,"yes","no"
"180",1968,"AL",-0.00973809203862587,"yes","no",-0.034296753366661,"yes","no"
"182",1969,"AL",-0.0318856534419392,"yes","no",0.0297530620133341,"yes","no"
"184",1970,"AL",-0.0350555643567472,"yes","yes",0.0378107896415752,"yes","no"
"186",1971,"AL",-0.00941842692657412,"yes","no",0.0130786382743359,"yes","no"
"188",1972,"AL",-0.00714762995083875,"yes","no",-0.0210342800343355,"yes","yes"
"190",1973,"AL",0.0999200248847028,"yes","yes",0.0016187019888862,"yes","yes"
"192",1974,"AL",0.0985544255108194,"no","yes",-0.0181370560326123,"yes","yes"
"193",1975,"AL",0.100692392861361,"no","yes",-0.0141794754877896,"yes","yes"
"195",1976,"AL",0.106634884875182,"no","yes",-0.0416183357231798,"yes","yes"
"197",1977,"AL",0.0990958401792576,"no","yes",0.0208430253212798,"yes","yes"
"199",1978,"AL",0.10534785951651,"no","yes",-0.00932133115502767,"yes","no"
"201",1979,"AL",0.0978004999647195,"no","yes",0.0253530432842325,"yes","no"
"203",1980,"AL",0.0989144041418803,"no","yes",0.0160017724940349,"yes","no"
"205",1981,"AL",0.105827242466717,"no","yes",-0.0301910643366559,"yes","yes"
"207",1982,"AL",0.112674791248865,"no","yes",0.00474069133333049,"yes","no"
"209",1983,"AL",0.110198810666899,"yes","yes",0.00125945163917701,"no","no"
"212",1984,"AL",0.123246192144552,"yes","yes",-0.0115165670548239,"no","no"
"214",1985,"AL",0.120411881899174,"no","yes",-0.00680710685600852,"no","no"
"216",1986,"AL",0.122326473860549,"no","yes",-0.0027421923252435,"yes","no"
"218",1987,"AL",0.122683294270892,"no","yes",0.0159144775585527,"yes","no"
"220",1988,"AL",0.121080830926714,"yes","yes",-0.0290456702432877,"yes","yes"
"222",1989,"AL",0.133009777506549,"yes","yes",-0.0371478491831409,"no","no"
"224",1990,"AL",0.138827274677618,"no","yes",-0.0402753113011304,"no","yes"
"226",1991,"AL",0.137520324756503,"no","yes",-0.0368935618748703,"no","no"
"228",1992,"AL",0.140372512183037,"no","yes",-0.048692762108232,"yes","no"
"229",1993,"AL",0.137126907427643,"no","yes",-0.0106534376701037,"yes","yes"
"232",1994,"AL",0.143001151485436,"no","yes",0.0179882786126344,"yes","no"
"234",1995,"AL",0.136837574732622,"no","yes",0.0130710979591784,"yes","no"
"236",1996,"AL",0.133463022995417,"yes","yes",0.034025778075888,"yes","no"
"237",1997,"AL",0.146736763580155,"yes","yes",0.00461475892413551,"yes","yes"
"239",1998,"AL",0.14717099348875,"no","yes",0.00391234954535391,"yes","yes"
"241",1999,"AL",0.139964616165884,"no","yes",0.0217893928436191,"yes","yes"
"243",2000,"AL",0.142622625217047,"no","yes",0.0254754647384181,"yes","yes"
"246",2001,"AL",0.143909280648193,"no","yes",-0.00315925360726513,"yes","yes"
"247",2002,"AL",0.145479973687579,"no","yes",-0.00996855914711717,"no","yes"
"249",2003,"AL",0.144060881117778,"yes","yes",-0.00890843707489733,"no","yes"
"252",2004,"AL",0.153949653098702,"yes","yes",-0.00149171473556833,"yes","yes"
"253",2005,"AL",0.156139282886245,"yes","yes",-0.0219266544024867,"yes","yes"
"256",2006,"AL",0.167689306814673,"yes","yes",-0.00544023849680778,"yes","yes"
"258",2007,"AL",0.165100860040597,"yes","yes",-0.0245917274843979,"yes","yes"
"260",2008,"AL",0.178626789536609,"yes","yes",-0.0351182226396136,"no","yes"
"261",2009,"AL",0.175589957489746,"no","yes",-0.0279634905516339,"yes","no"
"263",2010,"AL",0.171764650146398,"no","yes",-0.0521989106392967,"yes","no"
"265",2011,"AL",0.179203798005182,"no","yes",-0.063725008186309,"no","no"
"267",2012,"AL",0.17644789765964,"yes","yes",-0.0705930042785146,"no","yes"
"270",2013,"AL",0.186951050025268,"yes","yes",-0.0789315521013067,"yes","no"
"272",2014,"AL",0.188869826987645,"no","yes",-0.104202482852385,"yes","yes"
"273",2015,"AL",0.192019846729488,"no","yes",-0.0849280682730345,"yes","no"
"275",2016,"AL",0.194179318111309,"no","yes",-0.0757830377217266,"no","yes"
"277",2017,"AL",0.192888275536487,"no","yes",-0.0660288680018518,"yes","yes"
"279",2018,"AL",0.195529910010687,"no","yes",-0.0857024512606182,"yes","no"
"71",1914,"FL",-0.194891847898024,"no","yes",0.222495152657797,"yes","yes"
"74",1915,"FL",-0.181279737933503,"no","yes",0.185170498866821,"yes","yes"
"1",1871,"NA",-0.268070722694732,"no","no",0.350953265802122,"yes","no"
"2",1872,"NA",-0.27310995790056,"no","no",0.287269138551324,"yes","no"
"3",1873,"NA",-0.265824735002875,"no","no",0.290004078277539,"yes","no"
"4",1874,"NA",-0.248055237410512,"yes","no",0.24811399254085,"yes","no"
"5",1875,"NA",-0.279402435661987,"yes","no",0.213130641391346,"yes","no"
"6",1876,"NL",-0.24084019513699,"no","no",0.224796193215717,"no","no"
"7",1877,"NL",-0.220760785267092,"no","no",0.225512534989848,"no","no"
"8",1878,"NL",-0.209629816433349,"no","no",0.196687580302913,"no","no"
"9",1879,"NL",-0.2040334430143,"yes","no",0.191540716568557,"yes","no"
"10",1880,"NL",-0.179491687474188,"yes","no",0.154012705925038,"yes","no"
"11",1881,"NL",-0.1764355802368,"yes","no",0.192248049913931,"yes","no"
"12",1882,"NL",-0.187921129534262,"yes","yes",0.188377574467463,"yes","yes"
"14",1883,"NL",-0.198945034651132,"yes","yes",0.217730824462581,"yes","yes"
"18",1884,"NL",-0.231364241653213,"yes","yes",0.210403932117003,"yes","yes"
"19",1885,"NL",-0.211104560698127,"yes","yes",0.174980857821129,"yes","yes"
"21",1886,"NL",-0.216590757626821,"yes","no",0.209810149120935,"yes","no"
"24",1887,"NL",-0.198260154863211,"yes","yes",0.261300218136689,"yes","yes"
"26",1888,"NL",-0.190692599605006,"no","no",0.161268613608065,"yes","yes"
"28",1889,"NL",-0.189452718506461,"yes","yes",0.23909572299821,"yes","yes"
"29",1890,"NL",-0.219363228013204,"yes","yes",0.236644261259753,"yes","yes"
"33",1891,"NL",-0.164423733451715,"yes","yes",0.194042721564006,"yes","yes"
"34",1892,"NL",-0.174334983327458,"no","no",0.174921563727603,"yes","no"
"35",1893,"NL",-0.165993110201069,"no","no",0.266190952134013,"yes","no"
"36",1894,"NL",-0.174446071570581,"no","no",0.345942233611667,"yes","no"
"37",1895,"NL",-0.171843595739972,"no","no",0.291087023218919,"yes","no"
"38",1896,"NL",-0.176158309731846,"no","no",0.268798239480072,"yes","no"
"39",1897,"NL",-0.175454891854479,"yes","no",0.262796601190429,"yes","no"
"40",1898,"NL",-0.160396526659049,"yes","no",0.198604229881101,"yes","no"
"41",1899,"NL",-0.164592009698692,"yes","no",0.228428040579754,"yes","no"
"42",1900,"NL",-0.137432115523131,"yes","no",0.192522489101734,"yes","no"
"44",1901,"NL",-0.183542021084331,"yes","no",0.185011256757362,"no","yes"
"46",1902,"NL",-0.192755549393548,"no","yes",0.170256866704614,"yes","yes"
"47",1903,"NL",-0.18257781874117,"no","no",0.210512947750689,"yes","yes"
"49",1904,"NL",-0.182064564586475,"no","yes",0.155697524202215,"yes","yes"
"51",1905,"NL",-0.183163955847652,"no","no",0.167721254236723,"yes","yes"
"53",1906,"NL",-0.177098196073054,"no","yes",0.137091172491071,"yes","no"
"55",1907,"NL",-0.171134194091044,"no","yes",0.131906954456667,"yes","yes"
"57",1908,"NL",-0.166146066962534,"no","yes",0.106489457077468,"yes","no"
"59",1909,"NL",-0.172359130325935,"no","yes",0.130908844629948,"yes","yes"
"61",1910,"NL",-0.165902852152068,"no","no",0.168524393126584,"yes","yes"
"63",1911,"NL",-0.168114693205001,"yes","no",0.191114711878892,"yes","no"
"65",1912,"NL",-0.142282890219095,"yes","no",0.195471229487441,"yes","yes"
"68",1913,"NL",-0.148976919848725,"no","no",0.162798891546283,"yes","no"
"70",1914,"NL",-0.155423371208679,"no","yes",0.13599124555318,"yes","yes"
"73",1915,"NL",-0.154203683600189,"no","yes",0.12468524170862,"no","yes"
"75",1916,"NL",-0.145999331753115,"no","no",0.111349831791694,"no","no"
"77",1917,"NL",-0.145007156963238,"no","no",0.121311713443952,"no","no"
"80",1918,"NL",-0.149142321269524,"no","no",0.126501042350246,"no","no"
"81",1919,"NL",-0.137120082510759,"no","no",0.130429563500477,"yes","yes"
"84",1920,"NL",-0.132246155871599,"yes","no",0.16195812313654,"yes","yes"
"86",1921,"NL",-0.147486447219475,"yes","no",0.220415376434714,"yes","no"
"87",1922,"NL",-0.164373905380472,"yes","yes",0.234627362163789,"yes","yes"
"89",1923,"NL",-0.143072691681596,"yes","yes",0.21285339173056,"yes","no"
"91",1924,"NL",-0.143689651364243,"no","no",0.195576816190149,"yes","no"
"93",1925,"NL",-0.136155918152711,"no","no",0.223949998444895,"yes","no"
"95",1926,"NL",-0.128065877151704,"no","no",0.184476779950519,"yes","no"
"97",1927,"NL",-0.133546718154513,"yes","yes",0.17586472855188,"no","no"
"99",1928,"NL",-0.116466419791489,"yes","no",0.181196477721819,"yes","no"
"101",1929,"NL",-0.129027403910912,"yes","no",0.216078827154915,"yes","yes"
"103",1930,"NL",-0.109129732822531,"yes","no",0.236710633004806,"yes","yes"
"105",1931,"NL",-0.0999619409638719,"no","yes",0.139597897504251,"yes","yes"
"107",1932,"NL",-0.0943609230837247,"no","yes",0.131738144405409,"yes","yes"
"109",1933,"NL",-0.0959011839623681,"no","no",0.0841682287989774,"yes","yes"
"111",1934,"NL",-0.0880199524229986,"yes","no",0.125377252079913,"yes","yes"
"113",1935,"NL",-0.0703731044093366,"yes","yes",0.114655847928412,"no","yes"
"115",1936,"NL",-0.0796727537855409,"no","no",0.119214233743304,"no","yes"
"118",1937,"NL",-0.0785581006490943,"no","no",0.106650062718615,"no","yes"
"120",1938,"NL",-0.0731556593428361,"no","no",0.0911822187891736,"no","yes"
"122",1939,"NL",-0.0632789480890095,"no","no",0.10880622556738,"yes","yes"
"124",1940,"NL",-0.0770316317545185,"no","no",0.0860928900677314,"yes","yes"
"125",1941,"NL",-0.061871529376691,"yes","no",0.069548370332893,"yes","yes"
"127",1942,"NL",-0.0460279364004017,"yes","yes",0.0295972040699375,"yes","yes"
"129",1943,"NL",-0.0794935057388207,"yes","no",0.0558348477690184,"yes","no"
"131",1944,"NL",-0.0866557006916771,"no","no",0.0949149421058837,"yes","no"
"133",1945,"NL",-0.0919233992062947,"yes","no",0.104286938287048,"yes","no"
"135",1946,"NL",-0.0707001785896621,"yes","no",0.0605861183633439,"yes","no"
"137",1947,"NL",-0.0570409862471523,"no","no",0.0932890075977836,"yes","yes"
"139",1948,"NL",-0.0478281514452191,"yes","no",0.077151411978128,"no","yes"
"141",1949,"NL",-0.0367818899317848,"yes","no",0.0807479712354358,"no","yes"
"143",1950,"NL",-0.0443388493719483,"no","no",0.0962552462959765,"yes","yes"
"145",1951,"NL",-0.0491513661942527,"no","no",0.0787429775810794,"yes","no"
"147",1952,"NL",-0.0457345733510963,"no","no",0.0563973266357122,"yes","no"
"150",1953,"NL",-0.0581344336201388,"no","no",0.103479647437092,"yes","no"
"151",1954,"NL",-0.0616229405144287,"no","no",0.0882606200317075,"no","no"
"153",1955,"NL",-0.0549169502199967,"yes","no",0.0780406734658731,"yes","no"
"155",1956,"NL",-0.0402224027530103,"yes","no",0.0542880266235544,"yes","yes"
"157",1957,"NL",-0.0454777756545281,"yes","no",0.0610243593776943,"no","no"
"159",1958,"NL",-0.029921221332213,"yes","yes",0.063717329238715,"no","no"
"161",1959,"NL",-0.0181116922101894,"yes","no",0.0549421210266105,"no","no"
"163",1960,"NL",-0.0188933823838871,"no","yes",0.0382086228352918,"yes","yes"
"165",1961,"NL",-0.0292671788046087,"no","no",0.0588661543201491,"yes","yes"
"167",1962,"NL",-0.0365725064413883,"no","yes",0.057533894813462,"yes","yes"
"169",1963,"NL",-0.0250580036159419,"no","yes",-0.00240982632908901,"yes","yes"
"171",1964,"NL",-0.0349440394930746,"no","no",0.0121405482375181,"no","yes"
"173",1965,"NL",-0.0235940751958886,"no","no",0.00809621335068211,"no","no"
"175",1966,"NL",-0.028120318941301,"yes","no",0.0216393824111751,"yes","no"
"177",1967,"NL",-0.0155747977805619,"yes","no",-0.00200737999657577,"yes","no"
"179",1968,"NL",-0.0164592968931618,"yes","no",-0.0308658401873495,"yes","no"
"181",1969,"NL",-0.0274391682637968,"yes","no",0.0231069709949289,"yes","no"
"183",1970,"NL",-0.0180937955224622,"no","yes",0.051145651440319,"yes","no"
"185",1971,"NL",-0.0109937096379425,"no","no",0.0112927482619406,"yes","no"
"187",1972,"NL",-0.0052930935739686,"no","no",0.00455398741383878,"yes","yes"
"189",1973,"NL",-0.00568190816962009,"no","yes",0.0193759748594425,"yes","yes"
"191",1974,"NL",-0.00448556052267239,"no","yes",0.0107107625644269,"no","yes"
"194",1975,"NL",-0.0078603015733639,"no","yes",0.014609810077381,"yes","yes"
"196",1976,"NL",0,"no","yes",0,"yes","yes"
"198",1977,"NL",-0.00860006892059051,"no","yes",0.040535483334952,"yes","yes"
"200",1978,"NL",-0.00585976635953324,"no","yes",0.00320579996947629,"yes","no"
"202",1979,"NL",0.00259433796643241,"no","yes",0.0226677945509813,"yes","no"
"204",1980,"NL",-0.00142813906635467,"yes","yes",0.00570870413673266,"yes","no"
"206",1981,"NL",0.0193877062422375,"yes","yes",-0.0103097162732823,"yes","yes"
"208",1982,"NL",0.010377518476828,"no","yes",-0.00914091467326442,"no","no"
"210",1983,"NL",0.0183765954344932,"no","yes",-0.00365590476752928,"no","no"
"211",1984,"NL",0.014242071117311,"no","yes",-0.0118001238038667,"no","no"
"213",1985,"NL",0.0111565175127746,"no","yes",-0.0126270694918609,"no","no"
"215",1986,"NL",0.0216759579403332,"no","yes",-0.00946883922576516,"yes","no"
"217",1987,"NL",0.0179777123258971,"yes","yes",0.0165748423845333,"yes","no"
"219",1988,"NL",0.0304170971743236,"yes","yes",-0.0461944920772242,"yes","yes"
"221",1989,"NL",0.0323884633822328,"no","yes",-0.0373491211927378,"yes","no"
"223",1990,"NL",0.0294612966903102,"no","yes",-0.0179187809565326,"yes","yes"
"225",1991,"NL",0.030433650256957,"no","yes",-0.0325986789057205,"yes","no"
"227",1992,"NL",0.034102985213727,"yes","yes",-0.0362470683943784,"yes","no"
"230",1993,"NL",0.0146500782647202,"yes","yes",0.0096835074160167,"yes","yes"
"231",1994,"NL",0.0366406936879124,"yes","yes",0.0280370684261005,"yes","no"
"233",1995,"NL",0.0312199250150749,"no","yes",0.0243555068994043,"no","no"
"235",1996,"NL",0.0308803402893125,"no","yes",0.0212813765520144,"no","no"
"238",1997,"NL",0.0279922319847039,"no","yes",0.0217244557808891,"no","yes"
"240",1998,"NL",0.0267029670425237,"no","yes",0.0209171496919087,"yes","yes"
"242",1999,"NL",0.0225215339639458,"no","yes",0.0490226790055267,"yes","yes"
"244",2000,"NL",0.0271073964310934,"no","yes",0.0483902712489986,"yes","yes"
"245",2001,"NL",0.0270525464978128,"no","yes",0.0264377749061373,"yes","yes"
"248",2002,"NL",0.029951437481967,"no","yes",0.00916990085965638,"yes","yes"
"250",2003,"NL",0.0360444673171751,"no","yes",0.0161054694148293,"no","yes"
"251",2004,"NL",0.042156530800192,"no","yes",0.0209005313313066,"yes","yes"
"254",2005,"NL",0.0509128064924671,"no","yes",0.00457536281595927,"yes","yes"
"255",2006,"NL",0.0536340105828811,"no","yes",0.00862121882845571,"yes","yes"
"257",2007,"NL",0.0623694066680828,"no","yes",-0.00619508874179739,"yes","yes"
"259",2008,"NL",0.0611746167772302,"no","yes",-0.013019065068079,"no","yes"
"262",2009,"NL",0.0589725176608663,"yes","yes",-0.0189478766626856,"yes","no"
"264",2010,"NL",0.0738079518480569,"yes","yes",-0.0446291152381033,"yes","no"
"266",2011,"NL",0.0783304884165878,"no","yes",-0.0562981637493646,"no","no"
"268",2012,"NL",0.0752692803118849,"no","yes",-0.0519989415925255,"yes","yes"
"269",2013,"NL",0.0759493738244975,"no","yes",-0.0759867025301121,"yes","no"
"271",2014,"NL",0.0833455144111364,"no","yes",-0.0901243186244049,"yes","yes"
"274",2015,"NL",0.0841440189787935,"no","yes",-0.0780817230864293,"yes","no"
"276",2016,"NL",0.0801170041726244,"no","yes",-0.0592246333029182,"yes","yes"
"278",2017,"NL",0.0822394308904882,"no","yes",-0.0471959514814747,"yes","yes"
"280",2018,"NL",0.0902128342327085,"no","yes",-0.0804236831154301,"yes","no"
"31",1890,"PL",-0.182864349864227,"no","yes",0.273351906990195,"no","yes"
"17",1884,"UA",-0.312866407664789,"no","yes",0.272655038000453,"no","yes"
