"year","teamName","LeagueAbbr"
2020,"Stony Brook","AmEast"
2010,"SUNY - Albany","AmEast"
2011,"SUNY - Albany","AmEast"
2012,"SUNY - Albany","AmEast"
2013,"SUNY - Albany","AmEast"
2014,"SUNY - Albany","AmEast"
2015,"SUNY - Albany","AmEast"
2016,"SUNY - Albany","AmEast"
2017,"SUNY - Albany","AmEast"
2018,"SUNY - Albany","AmEast"
2019,"SUNY - Albany","AmEast"
2020,"SUNY - Albany","AmEast"
2010,"Temple","Atl10"
2011,"Temple","Atl10"
2012,"Temple","Atl10"
2013,"Temple","Atl10"
2014,"Temple","AAC"
2010,"Tennessee","SEC"
2011,"Tennessee","SEC"
2012,"Tennessee","SEC"
2013,"Tennessee","SEC"
2014,"Tennessee","SEC"
2015,"Tennessee","SEC"
2016,"Tennessee","SEC"
2017,"Tennessee","SEC"
2018,"Tennessee","SEC"
2019,"Tennessee","SEC"
2020,"Tennessee","SEC"
2010,"Tennessee-Martin","OVC"
2011,"Tennessee-Martin","OVC"
2012,"Tennessee-Martin","OVC"
2013,"Tennessee-Martin","OVC"
2014,"Tennessee-Martin","OVC"
2015,"Tennessee-Martin","OVC"
2016,"Tennessee-Martin","OVC"
2017,"Tennessee-Martin","OVC"
2018,"Tennessee-Martin","OVC"
2019,"Tennessee-Martin","OVC"
2020,"Tennessee-Martin","OVC"
2010,"Tennessee Tech","OVC"
2011,"Tennessee Tech","OVC"
2012,"Tennessee Tech","OVC"
2013,"Tennessee Tech","OVC"
2014,"Tennessee Tech","OVC"
2015,"Tennessee Tech","OVC"
2016,"Tennessee Tech","OVC"
2017,"Tennessee Tech","OVC"
2018,"Tennessee Tech","OVC"
2019,"Tennessee Tech","OVC"
2020,"Tennessee Tech","OVC"
2010,"Texas","Big12"
2011,"Texas","Big12"
2012,"Texas","Big12"
2013,"Texas","Big12"
2014,"Texas","Big12"
2015,"Texas","Big12"
2016,"Texas","Big12"
2017,"Texas","Big12"
2018,"Texas","Big12"
2019,"Texas","Big12"
2020,"Texas","Big12"
2010,"Texas-Arlington","Sthland"
2011,"Texas-Arlington","Sthland"
2012,"Texas-Arlington","Sthland"
2013,"Texas-Arlington","WAC"
2014,"Texas-Arlington","SBC"
2015,"Texas-Arlington","SBC"
2016,"Texas-Arlington","SBC"
2017,"Texas-Arlington","SBC"
2018,"Texas-Arlington","SBC"
2019,"Texas-Arlington","SBC"
2020,"Texas-Arlington","SBC"
2010,"Texas-Pan American","GWC"
2011,"Texas-Pan American","GWC"
2012,"Texas-Pan American","GWC"
2013,"Texas-Pan American","GWC"
2014,"Texas-Pan American","WAC"
2015,"Texas-Pan American","WAC"
2016,"Texas-Pan American","WAC"
2017,"Texas-Pan American","WAC"
2018,"Texas-Pan American","WAC"
2019,"Texas-Pan American","WAC"
2020,"Texas-Pan American","WAC"
2010,"Texas-San Antonio","Sthland"
2011,"Texas-San Antonio","Sthland"
2012,"Texas-San Antonio","Sthland"
2013,"Texas-San Antonio","WAC"
2014,"Texas-San Antonio","ConfUSA"
2015,"Texas-San Antonio","ConfUSA"
2016,"Texas-San Antonio","ConfUSA"
2017,"Texas-San Antonio","ConfUSA"
2018,"Texas-San Antonio","ConfUSA"
2019,"Texas-San Antonio","ConfUSA"
2020,"Texas-San Antonio","ConfUSA"
2010,"Texas A&M","Big12"
2011,"Texas A&M","Big12"
2012,"Texas A&M","Big12"
2013,"Texas A&M","SEC"
2014,"Texas A&M","SEC"
2015,"Texas A&M","SEC"
2016,"Texas A&M","SEC"
2017,"Texas A&M","SEC"
2018,"Texas A&M","SEC"
2019,"Texas A&M","SEC"
2020,"Texas A&M","SEC"
2010,"Texas A&M-Corpus Christi","Sthland"
2011,"Texas A&M-Corpus Christi","Sthland"
2012,"Texas A&M-Corpus Christi","Sthland"
2013,"Texas A&M-Corpus Christi","Sthland"
2014,"Texas A&M-Corpus Christi","Sthland"
2015,"Texas A&M-Corpus Christi","Sthland"
2016,"Texas A&M-Corpus Christi","Sthland"
2017,"Texas A&M-Corpus Christi","Sthland"
2018,"Texas A&M-Corpus Christi","Sthland"
2019,"Texas A&M-Corpus Christi","Sthland"
2020,"Texas A&M-Corpus Christi","Sthland"
2010,"Texas Christian","MWC"
2011,"Texas Christian","MWC"
2012,"Texas Christian","MWC"
2013,"Texas Christian","Big12"
2014,"Texas Christian","Big12"
2015,"Texas Christian","Big12"
2016,"Texas Christian","Big12"
2017,"Texas Christian","Big12"
2018,"Texas Christian","Big12"
2019,"Texas Christian","Big12"
2020,"Texas Christian","Big12"
2010,"Texas Southern","SWAC"
2011,"Texas Southern","SWAC"
2012,"Texas Southern","SWAC"
2013,"Texas Southern","SWAC"
2014,"Texas Southern","SWAC"
2015,"Texas Southern","SWAC"
2016,"Texas Southern","SWAC"
2017,"Texas Southern","SWAC"
2018,"Texas Southern","SWAC"
2019,"Texas Southern","SWAC"
2020,"Texas Southern","SWAC"
2010,"Texas State","Sthland"
2011,"Texas State","Sthland"
2012,"Texas State","Sthland"
2013,"Texas State","WAC"
2014,"Texas State","SBC"
2015,"Texas State","SBC"
2016,"Texas State","SBC"
2017,"Texas State","SBC"
2018,"Texas State","SBC"
2019,"Texas State","SBC"
2020,"Texas State","SBC"
2010,"Texas Tech","Big12"
2011,"Texas Tech","Big12"
2012,"Texas Tech","Big12"
2013,"Texas Tech","Big12"
2014,"Texas Tech","Big12"
2015,"Texas Tech","Big12"
2016,"Texas Tech","Big12"
2017,"Texas Tech","Big12"
2018,"Texas Tech","Big12"
2019,"Texas Tech","Big12"
2020,"Texas Tech","Big12"
2010,"The Citadel","SoCon"
2011,"The Citadel","SoCon"
2012,"The Citadel","SoCon"
2013,"The Citadel","SoCon"
2014,"The Citadel","SoCon"
2015,"The Citadel","SoCon"
2016,"The Citadel","SoCon"
2017,"The Citadel","SoCon"
2018,"The Citadel","SoCon"
2019,"The Citadel","SoCon"
2020,"The Citadel","SoCon"
2010,"Toledo","MAC"
2011,"Toledo","MAC"
2012,"Toledo","MAC"
2013,"Toledo","MAC"
2014,"Toledo","MAC"
2015,"Toledo","MAC"
2016,"Toledo","MAC"
2017,"Toledo","MAC"
2018,"Toledo","MAC"
2019,"Toledo","MAC"
2020,"Toledo","MAC"
2010,"Towson","CAA"
2011,"Towson","CAA"
2012,"Towson","CAA"
2013,"Towson","CAA"
2014,"Towson","CAA"
2015,"Towson","CAA"
2016,"Towson","CAA"
2017,"Towson","CAA"
2018,"Towson","CAA"
2019,"Towson","CAA"
2020,"Towson","CAA"
2010,"Troy","SBC"
2011,"Troy","SBC"
2012,"Troy","SBC"
2013,"Troy","SBC"
2014,"Troy","SBC"
2015,"Troy","SBC"
2016,"Troy","SBC"
2017,"Troy","SBC"
2018,"Troy","SBC"
2019,"Troy","SBC"
2020,"Troy","SBC"
2010,"Tulane","ConfUSA"
2011,"Tulane","ConfUSA"
2012,"Tulane","ConfUSA"
2013,"Tulane","ConfUSA"
2014,"Tulane","ConfUSA"
2015,"Tulane","AAC"
2016,"Tulane","AAC"
2017,"Tulane","AAC"
2018,"Tulane","AAC"
2019,"Tulane","AAC"
2020,"Tulane","AAC"
2010,"UC Davis","BigWest"
2011,"UC Davis","BigWest"
2012,"UC Davis","BigWest"
2013,"UC Davis","BigWest"
2014,"UC Davis","BigWest"
2015,"UC Davis","BigWest"
2016,"UC Davis","BigWest"
2017,"UC Davis","BigWest"
2018,"UC Davis","BigWest"
2019,"UC Davis","BigWest"
2020,"UC Davis","BigWest"
2010,"UC Irvine","BigWest"
2011,"UC Irvine","BigWest"
2012,"UC Irvine","BigWest"
2013,"UC Irvine","BigWest"
2014,"UC Irvine","BigWest"
2015,"UC Irvine","BigWest"
2016,"UC Irvine","BigWest"
2017,"UC Irvine","BigWest"
2018,"UC Irvine","BigWest"
2019,"UC Irvine","BigWest"
2020,"UC Irvine","BigWest"
2010,"UC Riverside","BigWest"
2011,"UC Riverside","BigWest"
2012,"UC Riverside","BigWest"
2013,"UC Riverside","BigWest"
2014,"UC Riverside","BigWest"
2015,"UC Riverside","BigWest"
2016,"UC Riverside","BigWest"
2017,"UC Riverside","BigWest"
2018,"UC Riverside","BigWest"
2019,"UC Riverside","BigWest"
2020,"UC Riverside","BigWest"
2010,"UC Santa Barbara","BigWest"
2011,"UC Santa Barbara","BigWest"
2012,"UC Santa Barbara","BigWest"
2013,"UC Santa Barbara","BigWest"
2014,"UC Santa Barbara","BigWest"
2015,"UC Santa Barbara","BigWest"
2016,"UC Santa Barbara","BigWest"
2017,"UC Santa Barbara","BigWest"
2018,"UC Santa Barbara","BigWest"
2019,"UC Santa Barbara","BigWest"
2020,"UC Santa Barbara","BigWest"
2010,"UCLA","Pac10"
2011,"UCLA","Pac10"
2012,"UCLA","Pac12"
2013,"UCLA","Pac12"
2014,"UCLA","Pac12"
2015,"UCLA","Pac12"
2016,"UCLA","Pac12"
2017,"UCLA","Pac12"
2018,"UCLA","Pac12"
2019,"UCLA","Pac12"
2020,"UCLA","Pac12"
2010,"UMD-Baltimore Cty","AmEast"
2011,"UMD-Baltimore Cty","AmEast"
2012,"UMD-Baltimore Cty","AmEast"
2013,"UMD-Baltimore Cty","AmEast"
2014,"UMD-Baltimore Cty","AmEast"
2015,"UMD-Baltimore Cty","AmEast"
2016,"UMD-Baltimore Cty","AmEast"
2017,"UMD-Baltimore Cty","AmEast"
2018,"UMD-Baltimore Cty","AmEast"
2019,"UMD-Baltimore Cty","AmEast"
2020,"UMD-Baltimore Cty","AmEast"
2010,"UNC-Greensboro","SoCon"
2011,"UNC-Greensboro","SoCon"
2012,"UNC-Greensboro","SoCon"
2013,"UNC-Greensboro","SoCon"
2014,"UNC-Greensboro","SoCon"
2015,"UNC-Greensboro","SoCon"
2016,"UNC-Greensboro","SoCon"
2017,"UNC-Greensboro","SoCon"
2018,"UNC-Greensboro","SoCon"
2019,"UNC-Greensboro","SoCon"
2020,"UNC-Greensboro","SoCon"
2010,"UNC Asheville","BigSou"
2011,"UNC Asheville","BigSou"
2012,"UNC Asheville","BigSou"
2013,"UNC Asheville","BigSou"
2014,"UNC Asheville","BigSou"
2015,"UNC Asheville","BigSou"
2016,"UNC Asheville","BigSou"
2017,"UNC Asheville","BigSou"
2018,"UNC Asheville","BigSou"
2019,"UNC Asheville","BigSou"
2020,"UNC Asheville","BigSou"
2010,"UNC Charlotte","Atl10"
2011,"UNC Charlotte","Atl10"
2012,"UNC Charlotte","Atl10"
2013,"UNC Charlotte","Atl10"
2014,"UNC Charlotte","ConfUSA"
2015,"UNC Charlotte","ConfUSA"
2016,"UNC Charlotte","ConfUSA"
2017,"UNC Charlotte","ConfUSA"
2018,"UNC Charlotte","ConfUSA"
2019,"UNC Charlotte","ConfUSA"
2020,"UNC Charlotte","ConfUSA"
2010,"UNC Wilmington","CAA"
2011,"UNC Wilmington","CAA"
2012,"UNC Wilmington","CAA"
2013,"UNC Wilmington","CAA"
2014,"UNC Wilmington","CAA"
2015,"UNC Wilmington","CAA"
2016,"UNC Wilmington","CAA"
2017,"UNC Wilmington","CAA"
2018,"UNC Wilmington","CAA"
2019,"UNC Wilmington","CAA"
2020,"UNC Wilmington","CAA"
2010,"University at Buffalo","MAC"
2011,"University at Buffalo","MAC"
2012,"University at Buffalo","MAC"
2013,"University at Buffalo","MAC"
2014,"University at Buffalo","MAC"
2015,"University at Buffalo","MAC"
2016,"University at Buffalo","MAC"
2017,"University at Buffalo","MAC"
2010,"UNLV","MWC"
2011,"UNLV","MWC"
2012,"UNLV","MWC"
2013,"UNLV","MWC"
2014,"UNLV","MWC"
2015,"UNLV","MWC"
2016,"UNLV","MWC"
2017,"UNLV","MWC"
2018,"UNLV","MWC"
2019,"UNLV","MWC"
2020,"UNLV","MWC"
2010,"USC","Pac10"
2011,"USC","Pac10"
2012,"USC","Pac12"
2013,"USC","Pac12"
2014,"USC","Pac12"
2015,"USC","Pac12"
2016,"USC","Pac12"
2017,"USC","Pac12"
2018,"USC","Pac12"
2019,"USC","Pac12"
2020,"USC","Pac12"
2010,"USC-Upstate","AtlSun"
2011,"USC-Upstate","AtlSun"
2012,"USC-Upstate","AtlSun"
2013,"USC-Upstate","AtlSun"
2014,"USC-Upstate","AtlSun"
2015,"USC-Upstate","AtlSun"
2016,"USC-Upstate","AtlSun"
2017,"USC-Upstate","AtlSun"
2018,"USC-Upstate","AtlSun"
2019,"USC-Upstate","BigSou"
2020,"USC-Upstate","BigSou"
2010,"Utah","MWC"
2011,"Utah","MWC"
2012,"Utah","Pac12"
2013,"Utah","Pac12"
2014,"Utah","Pac12"
2015,"Utah","Pac12"
2016,"Utah","Pac12"
2017,"Utah","Pac12"
2018,"Utah","Pac12"
2019,"Utah","Pac12"
2020,"Utah","Pac12"
2010,"Utah Valley U","GWC"
2011,"Utah Valley U","GWC"
2012,"Utah Valley U","GWC"
2013,"Utah Valley U","GWC"
2014,"Utah Valley U","WAC"
2015,"Utah Valley U","WAC"
2016,"Utah Valley U","WAC"
2017,"Utah Valley U","WAC"
2018,"Utah Valley U","WAC"
2019,"Utah Valley U","WAC"
2020,"Utah Valley U","WAC"
2010,"UW Milwaukee","Horiz"
2011,"UW Milwaukee","Horiz"
2012,"UW Milwaukee","Horiz"
2013,"UW Milwaukee","Horiz"
2014,"UW Milwaukee","Horiz"
2015,"UW Milwaukee","Horiz"
2016,"UW Milwaukee","Horiz"
2017,"UW Milwaukee","Horiz"
2018,"UW Milwaukee","Horiz"
2019,"UW Milwaukee","Horiz"
2020,"UW Milwaukee","Horiz"
2010,"Va Military Inst.","BigSou"
2011,"Va Military Inst.","BigSou"
2012,"Va Military Inst.","BigSou"
2013,"Va Military Inst.","BigSou"
2014,"Va Military Inst.","BigSou"
2015,"Va Military Inst.","SoCon"
2016,"Va Military Inst.","SoCon"
2017,"Va Military Inst.","SoCon"
2018,"Va Military Inst.","SoCon"
2019,"Va Military Inst.","SoCon"
2020,"Va Military Inst.","SoCon"
2010,"Va. Commonwealth","CAA"
2011,"Va. Commonwealth","CAA"
2012,"Va. Commonwealth","CAA"
2013,"Va. Commonwealth","Atl10"
2014,"Va. Commonwealth","Atl10"
2015,"Va. Commonwealth","Atl10"
2016,"Va. Commonwealth","Atl10"
2017,"Va. Commonwealth","Atl10"
2018,"Va. Commonwealth","Atl10"
2019,"Va. Commonwealth","Atl10"
2020,"Va. Commonwealth","Atl10"
2010,"Valparaiso","Horiz"
2011,"Valparaiso","Horiz"
2012,"Valparaiso","Horiz"
2013,"Valparaiso","Horiz"
2014,"Valparaiso","Horiz"
2015,"Valparaiso","Horiz"
2016,"Valparaiso","Horiz"
2017,"Valparaiso","Horiz"
2018,"Valparaiso","MVC"
2019,"Valparaiso","MVC"
2020,"Valparaiso","MVC"
2010,"Vanderbilt","SEC"
2011,"Vanderbilt","SEC"
2012,"Vanderbilt","SEC"
2013,"Vanderbilt","SEC"
2014,"Vanderbilt","SEC"
2015,"Vanderbilt","SEC"
2016,"Vanderbilt","SEC"
2017,"Vanderbilt","SEC"
2018,"Vanderbilt","SEC"
2019,"Vanderbilt","SEC"
2020,"Vanderbilt","SEC"
2010,"Villanova","BigEast"
2011,"Villanova","BigEast"
2012,"Villanova","BigEast"
2013,"Villanova","BigEast"
2014,"Villanova","BigEast"
2015,"Villanova","BigEast"
2016,"Villanova","BigEast"
2017,"Villanova","BigEast"
2018,"Villanova","BigEast"
2019,"Villanova","BigEast"
2020,"Villanova","BigEast"
2010,"Virginia","ACC"
2011,"Virginia","ACC"
2012,"Virginia","ACC"
2013,"Virginia","ACC"
2014,"Virginia","ACC"
2015,"Virginia","ACC"
2016,"Virginia","ACC"
2017,"Virginia","ACC"
2018,"Virginia","ACC"
2019,"Virginia","ACC"
2020,"Virginia","ACC"
2010,"Virginia Tech","ACC"
2011,"Virginia Tech","ACC"
2012,"Virginia Tech","ACC"
2013,"Virginia Tech","ACC"
2014,"Virginia Tech","ACC"
2015,"Virginia Tech","ACC"
2016,"Virginia Tech","ACC"
2017,"Virginia Tech","ACC"
2018,"Virginia Tech","ACC"
2019,"Virginia Tech","ACC"
2020,"Virginia Tech","ACC"
2010,"Wagner","NEC"
2011,"Wagner","NEC"
2012,"Wagner","NEC"
2013,"Wagner","NEC"
2014,"Wagner","NEC"
2015,"Wagner","NEC"
2016,"Wagner","NEC"
2017,"Wagner","NEC"
2018,"Wagner","NEC"
2019,"Wagner","NEC"
2020,"Wagner","NEC"
2010,"Wake Forest","ACC"
2011,"Wake Forest","ACC"
2012,"Wake Forest","ACC"
2013,"Wake Forest","ACC"
2014,"Wake Forest","ACC"
2015,"Wake Forest","ACC"
2016,"Wake Forest","ACC"
2017,"Wake Forest","ACC"
2018,"Wake Forest","ACC"
2019,"Wake Forest","ACC"
2020,"Wake Forest","ACC"
2010,"Washington","Pac10"
2011,"Washington","Pac10"
2012,"Washington","Pac12"
2013,"Washington","Pac12"
2014,"Washington","Pac12"
2015,"Washington","Pac12"
2016,"Washington","Pac12"
2017,"Washington","Pac12"
2018,"Washington","Pac12"
2019,"Washington","Pac12"
2020,"Washington","Pac12"
2010,"Washington State","Pac10"
2011,"Washington State","Pac10"
2012,"Washington State","Pac12"
2013,"Washington State","Pac12"
2014,"Washington State","Pac12"
2015,"Washington State","Pac12"
2016,"Washington State","Pac12"
2017,"Washington State","Pac12"
2018,"Washington State","Pac12"
2019,"Washington State","Pac12"
2020,"Washington State","Pac12"
2010,"West Virginia","BigEast"
2011,"West Virginia","BigEast"
2012,"West Virginia","BigEast"
2013,"West Virginia","Big12"
2014,"West Virginia","Big12"
2015,"West Virginia","Big12"
2016,"West Virginia","Big12"
2017,"West Virginia","Big12"
2018,"West Virginia","Big12"
2019,"West Virginia","Big12"
2020,"West Virginia","Big12"
2010,"Western Carolina","SoCon"
2011,"Western Carolina","SoCon"
2012,"Western Carolina","SoCon"
2013,"Western Carolina","SoCon"
2014,"Western Carolina","SoCon"
2015,"Western Carolina","SoCon"
2016,"Western Carolina","SoCon"
2017,"Western Carolina","SoCon"
2018,"Western Carolina","SoCon"
2019,"Western Carolina","SoCon"
2020,"Western Carolina","SoCon"
2010,"Western Illinois","Summ"
2011,"Western Illinois","Summ"
2012,"Western Illinois","Summ"
2013,"Western Illinois","Summ"
2014,"Western Illinois","Summ"
2015,"Western Illinois","Summ"
2016,"Western Illinois","Summ"
2017,"Western Illinois","Summ"
2018,"Western Illinois","Summ"
2019,"Western Illinois","Summ"
2020,"Western Illinois","Summ"
2010,"Western Kentucky","SBC"
2011,"Western Kentucky","SBC"
2012,"Western Kentucky","SBC"
2013,"Western Kentucky","SBC"
2014,"Western Kentucky","SBC"
2015,"Western Kentucky","ConfUSA"
2016,"Western Kentucky","ConfUSA"
2017,"Western Kentucky","ConfUSA"
2018,"Western Kentucky","ConfUSA"
2019,"Western Kentucky","ConfUSA"
2020,"Western Kentucky","ConfUSA"
2010,"Western Michigan","MAC"
2011,"Western Michigan","MAC"
2012,"Western Michigan","MAC"
2013,"Western Michigan","MAC"
2014,"Western Michigan","MAC"
2015,"Western Michigan","MAC"
2016,"Western Michigan","MAC"
2017,"Western Michigan","MAC"
2018,"Western Michigan","MAC"
2019,"Western Michigan","MAC"
2020,"Western Michigan","MAC"
2010,"Wichita State","MVC"
2011,"Wichita State","MVC"
2012,"Wichita State","MVC"
2013,"Wichita State","MVC"
2014,"Wichita State","MVC"
2015,"Wichita State","MVC"
2016,"Wichita State","MVC"
2017,"Wichita State","MVC"
2018,"Wichita State","AAC"
2019,"Wichita State","AAC"
2020,"Wichita State","AAC"
2010,"William and Mary","CAA"
2011,"William and Mary","CAA"
2012,"William and Mary","CAA"
2013,"William and Mary","CAA"
2014,"William and Mary","CAA"
2015,"William and Mary","CAA"
2016,"William and Mary","CAA"
2017,"William and Mary","CAA"
2018,"William and Mary","CAA"
2019,"William and Mary","CAA"
2020,"William and Mary","CAA"
2010,"Winthrop","BigSou"
2011,"Winthrop","BigSou"
2012,"Winthrop","BigSou"
2013,"Winthrop","BigSou"
2014,"Winthrop","BigSou"
2015,"Winthrop","BigSou"
2016,"Winthrop","BigSou"
2017,"Winthrop","BigSou"
2018,"Winthrop","BigSou"
2019,"Winthrop","BigSou"
2020,"Winthrop","BigSou"
2010,"Wofford","SoCon"
2011,"Wofford","SoCon"
2012,"Wofford","SoCon"
2013,"Wofford","SoCon"
2014,"Wofford","SoCon"
2015,"Wofford","SoCon"
2016,"Wofford","SoCon"
2017,"Wofford","SoCon"
2018,"Wofford","SoCon"
2019,"Wofford","SoCon"
2020,"Wofford","SoCon"
2010,"Wright State","Horiz"
2011,"Wright State","Horiz"
2012,"Wright State","Horiz"
2013,"Wright State","Horiz"
2014,"Wright State","Horiz"
2015,"Wright State","Horiz"
2016,"Wright State","Horiz"
2017,"Wright State","Horiz"
2018,"Wright State","Horiz"
2019,"Wright State","Horiz"
2020,"Wright State","Horiz"
2010,"Xavier","Atl10"
2011,"Xavier","Atl10"
2012,"Xavier","Atl10"
2013,"Xavier","Atl10"
2014,"Xavier","BigEast"
2015,"Xavier","BigEast"
2016,"Xavier","BigEast"
2017,"Xavier","BigEast"
2018,"Xavier","BigEast"
2019,"Xavier","BigEast"
2020,"Xavier","BigEast"
2010,"Yale","Ivy"
2011,"Yale","Ivy"
2012,"Yale","Ivy"
2013,"Yale","Ivy"
2014,"Yale","Ivy"
2015,"Yale","Ivy"
2016,"Yale","Ivy"
2017,"Yale","Ivy"
2018,"Yale","Ivy"
2019,"Yale","Ivy"
2020,"Yale","Ivy"
2010,"Youngstown State","Horiz"
2011,"Youngstown State","Horiz"
2012,"Youngstown State","Horiz"
2013,"Youngstown State","Horiz"
2014,"Youngstown State","Horiz"
2015,"Youngstown State","Horiz"
2016,"Youngstown State","Horiz"
2017,"Youngstown State","Horiz"
2018,"Youngstown State","Horiz"
2019,"Youngstown State","Horiz"
2020,"Youngstown State","Horiz"
